Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 2.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
Received bitrate: 5.0
